model,display_name,task,success,total,success_rate
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_blue_block_table,31,84,0.36904761904761907
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_pink_block_drawer,4,5,0.8
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_pink_block_slider,32,80,0.4
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_pink_block_table,46,100,0.46
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_red_block_drawer,6,6,1.0
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_red_block_slider,34,86,0.3953488372093023
act_lang_ABC_200k,ACT-Lang-ABC 200k,lift_red_block_table,38,84,0.4523809523809524
act_lang_ABC_200k,ACT-Lang-ABC 200k,move_slider_left,101,141,0.7163120567375887
act_lang_ABC_200k,ACT-Lang-ABC 200k,move_slider_right,178,194,0.9175257731958762
act_lang_ABC_200k,ACT-Lang-ABC 200k,open_drawer,216,220,0.9818181818181818
act_lang_ABC_200k,ACT-Lang-ABC 200k,place_in_drawer,52,53,0.9811320754716981
act_lang_ABC_200k,ACT-Lang-ABC 200k,place_in_slider,87,101,0.8613861386138614
act_lang_ABC_200k,ACT-Lang-ABC 200k,push_blue_block_left,27,55,0.4909090909090909
act_lang_ABC_200k,ACT-Lang-ABC 200k,push_blue_block_right,26,56,0.4642857142857143
act_lang_ABC_200k,ACT-Lang-ABC 200k,push_into_drawer,44,70,0.6285714285714286
act_lang_ABC_200k,ACT-Lang-ABC 200k,push_pink_block_left,30,65,0.46153846153846156
act_lang_ABC_200k,ACT-Lang-ABC 200k,push_pink_block_right,28,50,0.56
act_lang_ABC_200k,ACT-Lang-ABC 200k,push_red_block_left,38,65,0.5846153846153846
act_lang_ABC_200k,ACT-Lang-ABC 200k,push_red_block_right,34,58,0.5862068965517241
act_lang_ABC_200k,ACT-Lang-ABC 200k,rotate_blue_block_left,16,50,0.32
act_lang_ABC_200k,ACT-Lang-ABC 200k,rotate_blue_block_right,18,59,0.3050847457627119
act_lang_ABC_200k,ACT-Lang-ABC 200k,rotate_pink_block_left,18,45,0.4
act_lang_ABC_200k,ACT-Lang-ABC 200k,rotate_pink_block_right,34,59,0.576271186440678
act_lang_ABC_200k,ACT-Lang-ABC 200k,rotate_red_block_left,17,48,0.3541666666666667
act_lang_ABC_200k,ACT-Lang-ABC 200k,rotate_red_block_right,18,56,0.32142857142857145
act_lang_ABC_200k,ACT-Lang-ABC 200k,stack_block,7,49,0.14285714285714285
act_lang_ABC_200k,ACT-Lang-ABC 200k,turn_off_led,88,103,0.8543689320388349
act_lang_ABC_200k,ACT-Lang-ABC 200k,turn_off_lightbulb,44,79,0.5569620253164557
act_lang_ABC_200k,ACT-Lang-ABC 200k,turn_on_led,87,115,0.7565217391304347
act_lang_ABC_200k,ACT-Lang-ABC 200k,turn_on_lightbulb,93,108,0.8611111111111112
act_lang_ABC_200k,ACT-Lang-ABC 200k,unstack_block,2,2,1.0
