model,display_name,sequence_idx,subtask_idx,subtask,language,num_actions,num_chunks,success,steps,mean_action_delta_l2_first6,q90_action_delta_l2_first6,mean_chunk_boundary_jump_l2_first6,q90_chunk_boundary_jump_l2_first6,mean_action_norm_l2_first6,mean_abs_gripper
act_lang_B_100k,ACT-Lang-B 100k,17,2,lift_pink_block_slider,lift the pink block from the sliding cabinet,360,15,False,360,0.05098298665338447,0.09190392494201659,0.30590581840702463,0.4883342415094377,0.3406472230744031,1.0
act_lang_B_100k,ACT-Lang-B 100k,18,1,push_red_block_left,go push the red block left,75,3,True,75,0.05503493554990839,0.07360032200813293,0.4378894567489624,0.49365594387054446,0.37471474389235176,1.0
act_lang_B_100k,ACT-Lang-B 100k,18,2,move_slider_right,push the sliding door to the right side,360,15,False,360,0.053062978882244,0.08215198665857314,0.29885202193898813,0.5059569001197814,0.32527174504680767,1.0
act_lang_B_100k,ACT-Lang-B 100k,19,1,turn_on_lightbulb,use the switch to turn on the light bulb,360,15,False,360,0.05066260519699507,0.08459810316562649,0.29500821232795715,0.46057695746421823,0.287426551260675,1.0
act_lang_B_100k,ACT-Lang-B 100k,20,1,move_slider_left,push the sliding door to the left side,360,15,False,360,0.061358091970101454,0.08105874061584473,0.45767311113221304,0.7148377776145936,0.3120478815916512,1.0
act_lang_B_100k,ACT-Lang-B 100k,21,1,open_drawer,pull the handle to open the drawer,52,3,True,52,0.05576089922996128,0.09446023404598236,0.2576715871691704,0.32454712241888045,0.5012665823675119,1.0
act_lang_B_100k,ACT-Lang-B 100k,21,2,turn_on_lightbulb,use the switch to turn on the light bulb,360,15,False,360,0.046766875983633535,0.07424725741147994,0.2527413102132933,0.3782201439142227,0.3090184740101298,1.0
act_lang_B_100k,ACT-Lang-B 100k,22,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.046323439172497614,0.08458845317363739,0.24104898422956467,0.35477067232131965,0.2867452235788935,1.0
act_lang_B_100k,ACT-Lang-B 100k,23,1,rotate_pink_block_right,take the pink block and rotate it to the right,360,15,False,360,0.05937800633080283,0.0904442250728607,0.36834304460457395,0.5294822067022324,0.3306114661610789,1.0
act_lang_B_100k,ACT-Lang-B 100k,24,1,turn_on_led,press the button to turn on the led light,360,15,False,360,0.045488528513627176,0.07270667254924773,0.33799508426870617,0.44300273358821873,0.2442894101349844,1.0
act_lang_B_100k,ACT-Lang-B 100k,25,1,rotate_blue_block_right,take the blue block and rotate it to the right,360,15,False,360,0.06383575226276242,0.10049467831850051,0.4156442316515105,0.6994618654251099,0.5374526606665717,1.0
act_lang_B_100k,ACT-Lang-B 100k,26,1,lift_blue_block_slider,lift the blue block from the sliding cabinet,360,15,False,360,0.0680350760739909,0.09902641922235489,0.6428300972495761,0.8284446597099304,0.3520574105489585,1.0
act_lang_B_100k,ACT-Lang-B 100k,27,1,push_blue_block_right,go push the blue block right,360,15,False,360,0.03961331836235889,0.07088057100772857,0.2629381748182433,0.4021838665008546,0.23819834010468588,1.0
act_lang_B_100k,ACT-Lang-B 100k,28,1,push_red_block_right,go push the red block right,360,15,False,360,0.06028082766271816,0.08407166749238966,0.4833092444709369,0.7607725322246551,0.3525756068320738,1.0
act_lang_B_100k,ACT-Lang-B 100k,29,1,turn_off_lightbulb,use the switch to turn off the light bulb,360,15,False,360,0.04050839678734582,0.06179061979055404,0.31061977467366625,0.45526992678642275,0.25477203296807904,1.0
act_lang_B_100k,ACT-Lang-B 100k,30,1,lift_red_block_table,grasp and lift the red block,360,15,False,360,0.043878389089848216,0.06838749796152113,0.3269835753100259,0.4890324473381043,0.2708360772890349,1.0
act_lang_B_100k,ACT-Lang-B 100k,31,1,lift_blue_block_table,grasp and lift the blue block,360,15,False,360,0.04282722132757804,0.07871149927377699,0.31198823877743315,0.4626587122678758,0.24018994503551058,1.0
act_lang_B_100k,ACT-Lang-B 100k,32,1,lift_pink_block_table,grasp and lift the pink block,360,15,False,360,0.03184901192021611,0.039399581402540206,0.30070058149950846,0.3896147668361664,0.16127922140682738,1.0
act_lang_B_100k,ACT-Lang-B 100k,33,1,rotate_pink_block_left,take the pink block and rotate it to the left,153,7,True,153,0.07483622368645708,0.15373421460390096,0.47182512034972507,0.8431813716888428,0.6016640339801514,1.0
act_lang_B_100k,ACT-Lang-B 100k,33,2,lift_pink_block_table,grasp and lift the pink block,11,1,True,11,0.0896419931203127,0.11621986031532287,nan,nan,0.48639592054215347,1.0
act_lang_B_100k,ACT-Lang-B 100k,33,3,stack_block,stack the grasped block,360,15,False,360,0.06778960646464798,0.09956319332122802,0.4330024527651923,0.6332669079303744,0.33461957549055416,1.0
act_lang_B_100k,ACT-Lang-B 100k,34,1,turn_off_led,press the button to turn off the led light,360,15,False,360,0.058055549992305486,0.09754485636949536,0.42744332339082447,0.5723918974399567,0.2672139365432991,1.0
act_lang_B_100k,ACT-Lang-B 100k,35,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.04719256088825093,0.08755012154579161,0.23301286410008157,0.38870745301246656,0.3531016882819434,1.0
act_lang_B_100k,ACT-Lang-B 100k,36,1,lift_red_block_slider,lift the red block from the sliding cabinet,98,4,True,98,0.04781135231179675,0.09273609220981599,0.2584187636772792,0.3659422338008881,0.3628143283481501,1.0
act_lang_B_100k,ACT-Lang-B 100k,36,2,place_in_slider,store the grasped block in the sliding cabinet,11,1,True,11,0.03670844323933124,0.0773267075419426,nan,nan,0.17380704696882854,1.0
act_lang_B_100k,ACT-Lang-B 100k,36,3,move_slider_right,push the sliding door to the right side,360,15,False,360,0.059444271843921925,0.09114633053541184,0.3048680978161948,0.5873045206069949,0.30552803767431114,1.0
act_lang_B_100k,ACT-Lang-B 100k,37,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.05736558079916704,0.09539143294095992,0.3829149156808853,0.5749099016189575,0.3003140722711881,1.0
act_lang_B_100k,ACT-Lang-B 100k,38,1,turn_off_lightbulb,use the switch to turn off the light bulb,360,15,False,360,0.04203159151038461,0.058822705596685405,0.3826636714594705,0.6317983925342561,0.3384353217565351,1.0
act_lang_B_100k,ACT-Lang-B 100k,39,1,open_drawer,pull the handle to open the drawer,53,3,True,53,0.031953730342838056,0.04840941168367862,0.12132131308317184,0.14442280381917955,0.3991144707180419,1.0
act_lang_B_100k,ACT-Lang-B 100k,39,2,move_slider_right,push the sliding door to the right side,360,15,False,360,0.05601610187155747,0.09025213718414302,0.32457442049469265,0.5758245944976806,0.41840165269871554,1.0
act_lang_B_100k,ACT-Lang-B 100k,40,1,turn_on_led,press the button to turn on the led light,360,15,False,360,0.04468922697858558,0.06934280842542648,0.3322487675717899,0.48516603112220774,0.2757931804077493,1.0
act_lang_B_100k,ACT-Lang-B 100k,41,1,move_slider_right,push the sliding door to the right side,108,5,True,108,0.045188584730516526,0.07034439593553544,0.32047678902745247,0.4100410133600235,0.3139157760888338,1.0
act_lang_B_100k,ACT-Lang-B 100k,41,2,close_drawer,push the handle to close the drawer,67,3,True,67,0.0538420369284171,0.09938794374465942,0.24375136941671371,0.31171325892210006,0.6129172717902198,1.0
act_lang_B_100k,ACT-Lang-B 100k,41,3,push_pink_block_left,go push the pink block left,360,15,False,360,0.06138461632692984,0.09809210300445556,0.396484806069306,0.5617928385734559,0.29371471102866864,1.0
act_lang_B_100k,ACT-Lang-B 100k,42,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.042396304433682835,0.0675729289650917,0.24929365356053626,0.35570531189441684,0.2131260305746562,1.0
act_lang_B_100k,ACT-Lang-B 100k,43,1,move_slider_left,push the sliding door to the left side,360,15,False,360,0.06492483018946764,0.1072241485118866,0.48338816527809414,1.0882373690605167,0.4215030000027683,1.0
act_lang_B_100k,ACT-Lang-B 100k,44,1,rotate_pink_block_right,take the pink block and rotate it to the right,360,15,False,360,0.0379041078601624,0.0622308775782585,0.2466827327651637,0.3536879003047943,0.22016280362796453,1.0
act_lang_B_100k,ACT-Lang-B 100k,45,1,lift_blue_block_table,grasp and lift the blue block,75,3,True,75,0.034118027495522354,0.055476164817810064,0.28283604979515076,0.36280195116996766,0.24841553658246995,1.0
act_lang_B_100k,ACT-Lang-B 100k,45,2,place_in_slider,store the grasped block in the sliding cabinet,360,15,False,360,0.08310282432466413,0.12606238126754757,0.48198294958897997,0.7033836722373963,0.4498569601111942,1.0
act_lang_B_100k,ACT-Lang-B 100k,46,1,rotate_pink_block_right,take the pink block and rotate it to the right,360,15,False,360,0.05383978621945989,0.08508738577365875,0.3467365024345262,0.46828143298625946,0.3987099880559577,1.0
act_lang_B_100k,ACT-Lang-B 100k,47,1,turn_off_lightbulb,use the switch to turn off the light bulb,360,15,False,360,0.03632350148332194,0.05209653452038765,0.3166566012161119,0.5229923963546753,0.23677348229620193,1.0
act_lang_B_100k,ACT-Lang-B 100k,48,1,lift_red_block_slider,lift the red block from the sliding cabinet,360,15,False,360,0.07990868814279194,0.11372524052858353,0.4922941880566733,0.5871175706386567,0.3907439506716198,1.0
act_lang_B_100k,ACT-Lang-B 100k,49,1,rotate_blue_block_left,take the blue block and rotate it to the left,170,7,True,170,0.07498358364200451,0.10276943743228914,0.7447414298852285,0.9975296556949615,0.3482512672815253,1.0
act_lang_B_100k,ACT-Lang-B 100k,49,2,move_slider_left,push the sliding door to the left side,360,15,False,360,0.05227403489167187,0.07925163060426711,0.3236540215356009,0.6236718893051149,0.3054678113717172,1.0
act_lang_B_100k,ACT-Lang-B 100k,50,1,lift_red_block_table,grasp and lift the red block,360,15,False,360,0.04704580851765687,0.06946153193712233,0.36398420270000187,0.48616795539855956,0.2500309931321277,1.0
act_lang_B_100k,ACT-Lang-B 100k,51,1,open_drawer,pull the handle to open the drawer,53,3,True,53,0.047499300267260805,0.07173381745815277,0.24113771319389343,0.2767301261425018,0.46309835843320163,1.0
act_lang_B_100k,ACT-Lang-B 100k,51,2,push_blue_block_right,go push the blue block right,360,15,False,360,0.03762327551239878,0.05780180543661116,0.2898806056806019,0.47531798183918,0.23688415511407787,1.0
act_lang_B_100k,ACT-Lang-B 100k,52,1,rotate_red_block_right,take the red block and rotate it to the right,360,15,False,360,0.0498260251456524,0.0796401485800743,0.35294877205576214,0.6572236597537999,0.2918001890182495,1.0
act_lang_B_100k,ACT-Lang-B 100k,53,1,turn_on_led,press the button to turn on the led light,360,15,False,360,0.059833796607968615,0.08306004405021668,0.5535256176122597,1.0974124312400817,0.3828098532950713,1.0
act_lang_B_100k,ACT-Lang-B 100k,54,1,turn_on_led,press the button to turn on the led light,360,15,False,360,0.03896653887616019,0.06099595129489899,0.26327101992709295,0.3811528444290162,0.21880288157198163,1.0
act_lang_B_100k,ACT-Lang-B 100k,55,1,turn_off_led,press the button to turn off the led light,360,15,False,360,0.05063557631172717,0.09622273892164228,0.3080400303006172,0.4619490593671799,0.2924978033742971,1.0
act_lang_B_100k,ACT-Lang-B 100k,56,1,close_drawer,push the handle to close the drawer,44,2,True,44,0.05385251767760099,0.07629295736551285,0.2325296252965927,0.2325296252965927,0.6937694319269874,1.0
act_lang_B_100k,ACT-Lang-B 100k,56,2,push_red_block_left,go push the red block left,360,15,False,360,0.059864016201782944,0.09835358858108519,0.34367507536496433,0.6072480440139773,0.3066566024389532,1.0
act_lang_B_100k,ACT-Lang-B 100k,57,1,move_slider_right,push the sliding door to the right side,57,3,True,57,0.03228013782063499,0.05047818087041378,0.17217021994292736,0.2799658413976431,0.40332092370903283,1.0
act_lang_B_100k,ACT-Lang-B 100k,57,2,push_into_drawer,slide the block that it falls into the drawer,360,15,False,360,0.07624331742400578,0.12188080400228499,0.47264838218688965,0.5624066472053528,0.38632228035065863,1.0
act_lang_B_100k,ACT-Lang-B 100k,58,1,push_blue_block_left,go push the blue block left,360,15,False,360,0.066957354846522,0.11058985143899916,0.36221301342759815,0.46548677980899816,0.31668274785495465,1.0
act_lang_B_100k,ACT-Lang-B 100k,59,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.04661588117280523,0.07825649231672287,0.2997991958899157,0.5416438519954682,0.23400374884820646,1.0
act_lang_B_100k,ACT-Lang-B 100k,60,1,turn_off_lightbulb,use the switch to turn off the light bulb,360,15,False,360,0.023082074467974785,0.03732672184705733,0.16056258071746146,0.1983629643917084,0.2947629103850987,1.0
act_lang_B_100k,ACT-Lang-B 100k,61,1,turn_on_lightbulb,use the switch to turn on the light bulb,360,15,False,360,0.03957678381714212,0.07194154262542721,0.22090773018343107,0.4885371640324596,0.2558557129672004,1.0
act_lang_B_100k,ACT-Lang-B 100k,62,1,push_blue_block_right,go push the blue block right,360,15,False,360,0.04492025513559953,0.07648399174213409,0.27916212699243,0.4938824951648715,0.25629703890946176,1.0
act_lang_B_100k,ACT-Lang-B 100k,63,1,rotate_pink_block_left,take the pink block and rotate it to the left,360,15,False,360,0.07523711991281064,0.11934858113527297,0.5152733325958252,0.7523814260959626,0.3637925121519301,1.0
act_lang_B_100k,ACT-Lang-B 100k,64,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.0461666376944787,0.08031823635101316,0.24565559040222848,0.42287655770778665,0.28850451880652045,1.0
act_lang_B_100k,ACT-Lang-B 100k,65,1,open_drawer,pull the handle to open the drawer,360,15,False,360,0.03838737179657502,0.05744590908288955,0.25374604389071465,0.4187125116586687,0.2636109767792126,1.0
act_lang_B_100k,ACT-Lang-B 100k,66,1,open_drawer,pull the handle to open the drawer,48,2,True,48,0.044551083203801446,0.07478969246149063,0.1753585934638977,0.1753585934638977,0.4669644143432379,1.0
act_lang_B_100k,ACT-Lang-B 100k,66,2,turn_on_led,press the button to turn on the led light,360,15,False,360,0.04934868410561742,0.07536044120788574,0.3191900742905481,0.582528853416443,0.2802124648768869,1.0
act_lang_B_100k,ACT-Lang-B 100k,67,1,rotate_pink_block_right,take the pink block and rotate it to the right,138,6,True,138,0.0626300841427143,0.08964619487524034,0.45879454016685484,0.773662531375885,0.5734631643239139,1.0
act_lang_B_100k,ACT-Lang-B 100k,67,2,lift_pink_block_table,grasp and lift the pink block,17,1,True,17,0.05733329773647711,0.09497561305761337,nan,nan,0.7675837453673867,1.0
act_lang_B_100k,ACT-Lang-B 100k,67,3,place_in_slider,store the grasped block in the sliding cabinet,32,2,True,32,0.0476780925546923,0.0873524472117424,0.11056488007307053,0.11056488007307053,0.42694954155012965,1.0
act_lang_B_100k,ACT-Lang-B 100k,67,4,move_slider_right,push the sliding door to the right side,360,15,False,360,0.06350294856904568,0.09729318767786026,0.38090854244572775,0.6417873442173005,0.34749173059438665,1.0
act_lang_B_100k,ACT-Lang-B 100k,68,1,lift_pink_block_table,grasp and lift the pink block,59,3,True,59,0.0490722567694069,0.08396628424525261,0.4133301228284836,0.4856161683797836,0.2922045025279966,1.0
act_lang_B_100k,ACT-Lang-B 100k,68,2,stack_block,stack the grasped block,360,15,False,360,0.0634917730328038,0.09700738489627837,0.37527362044368473,0.5837604880332947,0.29298406028085283,1.0
act_lang_B_100k,ACT-Lang-B 100k,69,1,push_pink_block_left,go push the pink block left,360,15,False,360,0.05479960465832279,0.07791574746370315,0.4798888085143907,0.6027132749557496,0.23188470627905594,1.0
act_lang_B_100k,ACT-Lang-B 100k,70,1,open_drawer,pull the handle to open the drawer,162,7,True,162,0.06999936505504277,0.09867752343416214,0.3992002258698146,0.5544814169406891,0.49332047364226095,1.0
act_lang_B_100k,ACT-Lang-B 100k,70,2,turn_off_led,press the button to turn off the led light,360,15,False,360,0.07946195244311788,0.11238985806703562,0.6208448026861463,0.8388872563838959,0.4972112362376518,1.0
act_lang_B_100k,ACT-Lang-B 100k,71,1,close_drawer,push the handle to close the drawer,55,3,True,55,0.04004505777697044,0.06511506214737892,0.13651368767023087,0.13687932044267653,0.5312118470668793,1.0
act_lang_B_100k,ACT-Lang-B 100k,71,2,rotate_blue_block_right,take the blue block and rotate it to the right,360,15,False,360,0.06655911241157349,0.1101121038198471,0.5060849828379494,1.026285356283188,0.4620547481916017,1.0
act_lang_B_100k,ACT-Lang-B 100k,72,1,open_drawer,pull the handle to open the drawer,44,2,True,44,0.046311145843288236,0.07716209888458253,0.2754419147968292,0.2754419147968292,0.49685889414765616,1.0
act_lang_B_100k,ACT-Lang-B 100k,72,2,push_red_block_left,go push the red block left,360,15,False,360,0.043961070326201016,0.06853130012750625,0.28290259359138353,0.37986059486866,0.227490040132155,1.0
act_lang_B_100k,ACT-Lang-B 100k,73,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.06628712281081463,0.10665584504604339,0.3635144191128867,0.7176003277301789,0.33541348276452887,1.0
act_lang_B_100k,ACT-Lang-B 100k,74,1,push_red_block_left,go push the red block left,126,6,True,126,0.08274338388442994,0.15349196791648864,0.4441357165575027,0.6227104544639588,0.42861616357214866,1.0
act_lang_B_100k,ACT-Lang-B 100k,74,2,turn_on_led,press the button to turn on the led light,360,15,False,360,0.04651941765426635,0.06490907222032546,0.4188140955354486,0.692376208305359,0.28751719097296397,1.0
act_lang_B_100k,ACT-Lang-B 100k,75,1,turn_off_lightbulb,use the switch to turn off the light bulb,360,15,False,360,0.04537904986587656,0.06696093380451201,0.43912402966192793,0.5998119056224823,0.24932620118682583,1.0
act_lang_B_100k,ACT-Lang-B 100k,76,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.03989116568896598,0.060641968995332717,0.2835914263767855,0.4615740984678268,0.25852339496422144,1.0
act_lang_B_100k,ACT-Lang-B 100k,77,1,rotate_blue_block_left,take the blue block and rotate it to the left,360,15,False,360,0.06371028989703915,0.09762364178895948,0.48228347833667484,0.6762342035770417,0.47119220308959486,1.0
act_lang_B_100k,ACT-Lang-B 100k,78,1,turn_off_led,press the button to turn off the led light,360,15,False,360,0.05285566022313488,0.08646412342786788,0.30563670077494215,0.4465896338224412,0.31549404145528875,1.0
act_lang_B_100k,ACT-Lang-B 100k,79,1,lift_blue_block_slider,lift the blue block from the sliding cabinet,360,15,False,360,0.08428217388409343,0.12146638780832289,0.6462293991020748,0.777722853422165,0.4388922996819019,1.0
act_lang_B_100k,ACT-Lang-B 100k,80,1,rotate_red_block_left,take the red block and rotate it to the left,360,15,False,360,0.07398615188346683,0.12352149784564968,0.47796943145138876,0.7823467552661896,0.5524590797929301,1.0
act_lang_B_100k,ACT-Lang-B 100k,81,1,push_pink_block_left,go push the pink block left,101,5,True,101,0.03911451790248975,0.05836615450680258,0.2782812751829624,0.3993447452783585,0.2222749336373688,1.0
act_lang_B_100k,ACT-Lang-B 100k,81,2,turn_on_lightbulb,use the switch to turn on the light bulb,360,15,False,360,0.047597252999881184,0.06785333454608918,0.31808551933084217,0.4955150961875916,0.3003379672765732,1.0
act_lang_B_100k,ACT-Lang-B 100k,82,1,open_drawer,pull the handle to open the drawer,53,3,True,53,0.03617284154125418,0.06473935805261134,0.12708615139126778,0.15328171029686927,0.4206515533744164,1.0
act_lang_B_100k,ACT-Lang-B 100k,82,2,move_slider_right,push the sliding door to the right side,360,15,False,360,0.04901198897261722,0.07540426552295684,0.3598599614841597,0.45124359428882604,0.3156924793496728,1.0
act_lang_B_100k,ACT-Lang-B 100k,83,1,lift_red_block_slider,lift the red block from the sliding cabinet,360,15,False,360,0.07235702098422479,0.09738509953022001,0.6664079470293862,0.810171365737915,0.3513868829235435,1.0
act_lang_B_100k,ACT-Lang-B 100k,84,1,push_into_drawer,slide the block that it falls into the drawer,360,15,False,360,0.04899249744827244,0.0817867323756218,0.30192926845380236,0.4326810866594315,0.2842999801867538,1.0
act_lang_B_100k,ACT-Lang-B 100k,85,1,move_slider_right,push the sliding door to the right side,360,15,False,360,0.054013169279794174,0.0769239529967308,0.3581289824630533,0.552977979183197,0.26727075771325165,1.0
act_lang_B_100k,ACT-Lang-B 100k,86,1,lift_pink_block_slider,lift the pink block from the sliding cabinet,232,10,True,232,0.0421288607206631,0.06903886795043945,0.2704852943619092,0.4648954510688782,0.2995898089660653,1.0
act_lang_B_100k,ACT-Lang-B 100k,86,2,place_in_slider,store the grasped block in the sliding cabinet,9,1,True,9,0.05470805033110082,0.11938043609261512,nan,nan,0.16274839267134666,1.0
act_lang_B_100k,ACT-Lang-B 100k,86,3,open_drawer,pull the handle to open the drawer,59,3,True,59,0.05720934149777067,0.08525966033339501,0.3577510043978691,0.4962189897894859,0.5300319949954243,1.0
act_lang_B_100k,ACT-Lang-B 100k,86,4,turn_on_lightbulb,use the switch to turn on the light bulb,360,15,False,360,0.0329459405174702,0.05616654902696609,0.18955597494329726,0.32011449337005626,0.2179374301340431,1.0
act_lang_B_100k,ACT-Lang-B 100k,87,1,move_slider_right,push the sliding door to the right side,98,4,True,98,0.058290543202694854,0.07986683994531632,0.4885530471801758,0.6405615687370301,0.40210508722431804,1.0
act_lang_B_100k,ACT-Lang-B 100k,87,2,turn_on_led,press the button to turn on the led light,360,15,False,360,0.06720218846631498,0.0968170940876007,0.4643335108246122,0.7170322835445404,0.3647785341160165,1.0
act_lang_B_100k,ACT-Lang-B 100k,88,1,push_pink_block_right,go push the pink block right,45,2,True,45,0.028110185934400015,0.0422858126461506,0.3372235596179962,0.3372235596179962,0.31574805941846634,1.0
act_lang_B_100k,ACT-Lang-B 100k,88,2,close_drawer,push the handle to close the drawer,70,3,True,70,0.05408808715857458,0.09159266054630291,0.34622399508953094,0.3816507667303085,0.37216591856309345,1.0
act_lang_B_100k,ACT-Lang-B 100k,88,3,lift_red_block_slider,lift the red block from the sliding cabinet,360,15,False,360,0.04217665817998453,0.07739151418209071,0.2895716524549893,0.4401495546102524,0.24708262221473787,1.0
act_lang_B_100k,ACT-Lang-B 100k,89,1,push_blue_block_left,go push the blue block left,71,3,True,71,0.02709836060114737,0.0434932392090559,0.20470436662435532,0.3170972511172295,0.2718698157810829,1.0
act_lang_B_100k,ACT-Lang-B 100k,89,2,close_drawer,push the handle to close the drawer,72,3,True,72,0.0552805218793137,0.10823308676481247,0.27905603125691414,0.4122072376310825,0.46220741721077097,1.0
act_lang_B_100k,ACT-Lang-B 100k,89,3,turn_off_lightbulb,use the switch to turn off the light bulb,360,15,False,360,0.04855346939497962,0.06698155999183653,0.445238754685436,0.546049064397812,0.28904437286675805,1.0
act_lang_B_100k,ACT-Lang-B 100k,90,1,close_drawer,push the handle to close the drawer,50,2,True,50,0.03695252378072057,0.057354811578989036,0.14622925221920013,0.14622925221920013,0.5292344492673874,1.0
act_lang_B_100k,ACT-Lang-B 100k,90,2,lift_red_block_slider,lift the red block from the sliding cabinet,360,15,False,360,0.04291750316723434,0.07095274180173873,0.26049617677927017,0.4202617138624193,0.3196325539921721,1.0
act_lang_B_100k,ACT-Lang-B 100k,91,1,rotate_blue_block_left,take the blue block and rotate it to the left,360,15,False,360,0.05749623494710472,0.09340069890022276,0.36750784303460804,0.5992932617664337,0.3515062995358474,1.0
act_lang_B_100k,ACT-Lang-B 100k,92,1,turn_on_led,press the button to turn on the led light,360,15,False,360,0.05282643768407176,0.08745635747909546,0.4451143102986472,0.7016607999801637,0.26744198999885055,1.0
act_lang_B_100k,ACT-Lang-B 100k,93,1,open_drawer,pull the handle to open the drawer,360,15,False,360,0.0401408760561958,0.05620917901396751,0.3416265919804573,0.47066555917263037,0.22176651972242528,1.0
